Current p53 cistrome Gene Symbol,Gene(s),Peak w/DEGs,Peak w/o DEGs,up,down,Gene,Gene ID,Current p53 cistrome Gene Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISG15,ISG15|9636,1,1,1,,ISG15,9636,ISG15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1QTNF12,FAM132A|388581,1,10,1,,FAM132A,388581,C1QTNF12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXRA8,MXRA8|54587,1,0,,1,MXRA8,54587,MXRA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANKRD65,ANKRD65|441869;TMEM88B|643965,2,4,2,,ANKRD65,441869,ANKRD65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM52,TMEM52|339456,1,2,1,,TMEM52,339456,TMEM52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTNNBIP1,CTNNBIP1|56998,2,2,2,,CTNNBIP1,56998,CTNNBIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASZ1,CASZ1|54897,1,1,1,,CASZ1,54897,CASZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAD2L2,MAD2L2|10459,1,0,1,,MAD2L2,10459,MAD2L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHRS3,DHRS3|9249,4,9,4,,DHRS3,9249,DHRS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPHA2,EPHA2|1969,5,5,5,,EPHA2,1969,EPHA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROCCP3,CROCCP3|114819,2,1,2,,CROCCP3,114819,CROCCP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PADI4,PADI4|23569,4,8,4,,PADI4,23569,PADI4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLHDC7A,KLHDC7A|127707,2,2,2,,KLHDC7A,127707,KLHDC7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFFO2,IFFO2|126917,1,0,1,,IFFO2,126917,IFFO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC100506801,LOC100506801|100506801,1,3,1,,LOC100506801,100506801,LOC100506801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELA3B,CELA3B|23436,1,3,,1,CELA3B,23436,CELA3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNT4,WNT4|54361,1,1,1,,WNT4,54361,WNT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID3,ID3|3399,3,1,1,2,ID3,3399,ID3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALE,GALE|2582,1,0,1,,GALE,2582,GALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUCA1,FUCA1|2517,5,2,5,,FUCA1,2517,FUCA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
