Patient_ID,GATA2,PGR,SOX17
GSM1402328,-0.121,-0.301,-0.304
GSM1402434,0.078,-0.336,-0.427
GSM1402407,-0.213,-0.301,-0.411
GSM1402397,-0.006,-0.150,-0.148
GSM1402416,0.057,-0.024,-0.192
GSM1402426,0.066,-0.407,0.100
GSM1402376,-0.216,-0.234,-0.559
GSM1402395,-0.095,-0.047,-0.193
GSM1402406,-0.222,-0.300,-0.572
GSM1402388,-0.016,-0.284,-0.333
GSM1402410,0.528,0.295,-0.014
GSM1402400,0.057,-0.362,0.177
GSM1402421,-0.291,-0.134,-0.919
GSM1402413,0.266,-0.029,0.286
GSM1402338,0.382,-0.134,0.384
GSM1402396,-0.084,-0.345,-0.511
GSM1402374,0.108,-0.086,-0.483
GSM1402341,0.108,0.120,0.000
GSM1402357,-0.218,-0.116,-0.155
GSM1402353,-0.052,-0.070,-0.261
GSM1402398,-0.018,0.172,0.331
GSM1402351,-0.128,-0.067,-0.658
GSM1402348,-0.226,-0.228,-1.329
GSM1402331,-0.337,-0.073,-1.263
GSM1402364,-0.041,-0.089,-0.595
GSM1402375,-0.079,-0.115,0.115
GSM1402381,-0.203,-0.180,-0.570
GSM1402358,0.239,0.183,0.031
GSM1402352,-0.079,-0.331,-0.722
GSM1402321,-0.011,-0.451,-0.137
GSM1402403,-0.439,0.598,-2.297
GSM1402383,-0.371,0.024,-1.084
GSM1402354,0.262,-0.028,0.041
GSM1402329,-0.158,-0.068,-0.406
GSM1402430,0.026,-0.296,-0.605
GSM1402419,-0.038,0.137,0.123
GSM1402414,0.155,0.122,0.107
GSM1402343,-0.349,-0.109,-1.294
GSM1402377,0.020,-0.163,0.421
GSM1402433,-0.089,0.014,-0.195
GSM1402369,-0.159,0.047,-0.708
GSM1402431,-0.031,-0.217,0.518
GSM1402335,-0.455,-0.375,-1.391
GSM1402372,-0.275,-0.573,-0.799
GSM1402363,0.270,0.240,-0.001
GSM1402332,-0.275,-0.530,-0.914
GSM1402411,0.182,0.339,0.659
GSM1402389,-0.136,-0.349,-0.271
GSM1402394,0.327,0.169,0.268
GSM1402350,-0.233,-0.474,-0.796
GSM1402408,-0.178,-0.451,-0.847
GSM1402373,-0.270,-0.413,-0.885
GSM1402425,0.160,0.455,-0.458
GSM1402333,-0.225,-0.342,-0.852
GSM1402370,0.462,0.284,0.567
GSM1402349,0.113,-0.070,0.667
GSM1402399,-0.128,-0.077,-0.881
GSM1402418,-0.223,-0.371,-1.241
GSM1402330,-0.374,-0.619,-1.151
GSM1402391,-0.201,-0.246,-0.202
GSM1402360,-0.062,-0.064,-0.974
GSM1402402,-0.479,-0.026,-1.641
GSM1402344,0.175,-0.001,0.639
GSM1402365,0.429,0.022,0.586
GSM1402428,-0.398,0.109,-1.121
GSM1402339,-0.429,-0.426,-1.018
GSM1402347,0.014,0.226,-0.028
GSM1402424,-0.306,0.081,-1.532
GSM1402435,-0.449,0.102,-2.000
GSM1402429,0.131,-0.249,0.345
GSM1402404,0.309,0.046,0.444
GSM1402340,0.170,0.000,0.200
GSM1402366,0.091,0.929,0.198
GSM1402378,-0.020,2.423,0.590
GSM1402385,-0.189,-0.386,-1.183
GSM1402346,-0.126,-0.107,-0.650
GSM1402380,0.207,0.086,0.087
GSM1402362,-0.339,-0.267,-1.222
GSM1402415,0.228,0.081,0.177
GSM1402387,-0.152,-0.272,-0.676
GSM1402356,-0.195,-0.315,-0.443
GSM1402417,-0.049,0.093,0.588
GSM1402326,-0.306,0.054,-1.238
GSM1402322,0.203,0.486,0.568
GSM1402345,0.254,0.087,0.372
GSM1402401,0.297,0.477,0.421
GSM1402423,0.595,0.463,0.491
GSM1402422,0.136,1.479,0.140
GSM1402355,0.159,2.270,0.257
GSM1402336,-0.032,-0.022,0.088
GSM1402324,0.724,0.453,0.298
GSM1402393,-0.042,0.571,0.478
GSM1402368,0.381,0.641,0.601
GSM1402386,-0.176,1.621,0.309
GSM1402361,0.274,0.342,0.384
GSM1402420,0.209,2.326,0.424
GSM1402409,0.352,0.223,0.536
GSM1402371,0.000,-0.163,0.702
GSM1402405,0.151,0.129,0.382
GSM1402384,0.050,0.306,0.651
GSM1402390,0.522,0.378,0.803
GSM1402427,0.371,0.391,0.857
GSM1402325,0.157,0.277,0.870
GSM1402379,0.285,0.466,0.593
GSM1402367,0.283,0.535,0.496
GSM1402327,0.068,0.122,-0.253
GSM1402412,0.102,0.229,0.181
GSM1402323,0.166,0.403,0.438
GSM1402382,0.360,0.560,0.414
GSM1402432,0.136,0.964,0.719
GSM1402337,0.771,0.856,0.471
GSM1402392,0.666,0.748,0.673
GSM1402342,0.532,0.694,0.534
GSM1402334,0.202,0.769,0.722
GSM1402359,0.685,0.494,0.414
