Patient_ID,GATA2,PGR,SOX17
GSM1402328,0.031,-4.016488322,-3.199330407
GSM1402434,0.59,-3.165862496,1.052407631
GSM1402407,0.257,-2.758419362,3.075156181
GSM1402397,0.14,-2.35491583,2.905544385
GSM1402416,-0.148,-2.337043839,-9.022172757
GSM1402426,0.424,-2.28128135,3.427106756
GSM1402376,-0.881,-2.276867077,-0.494834759
GSM1402395,-0.572,-2.144865451,-6.8045305
GSM1402406,0.309,-2.142012806,3.349920736
GSM1402388,-0.559,-2.124916183,-7.245953746
GSM1402410,-1.391,-2.102304042,-1.480513235
GSM1402400,-0.271,-2.006964125,-1.167157112
GSM1402421,-1.238,-1.981976722,2.027725336
GSM1402413,-0.193,-1.937023869,-6.913745099
GSM1402338,-2.297,-1.92046105,-3.158684882
GSM1402396,-2,-1.841009149,0.76266217
GSM1402374,-1.121,-1.778567605,0.213646598
GSM1402341,-1.263,-1.718143253,-3.809847104
GSM1402357,-0.919,-1.678902219,-5.13871065
GSM1402353,-0.708,-1.664932312,-1.903749767
GSM1402398,-0.595,-1.629160424,-3.648993204
GSM1402351,-1.294,-1.594740528,-2.109515545
GSM1402348,-1.084,-1.581539181,-2.970876993
GSM1402331,-0.722,-1.519237399,-3.165401153
GSM1402364,-0.796,-1.518105691,-1.045700731
GSM1402375,-1.329,-1.420202213,-3.849917616
GSM1402381,-1.641,-1.3941753,0.146480857
GSM1402358,-0.406,-1.379331374,-2.842644059
GSM1402352,-0.261,-1.360056147,-4.059002337
GSM1402321,-1.222,-1.332777776,1.370075049
GSM1402403,-0.458,-1.308936995,-0.712840247
GSM1402383,-0.155,-1.306369969,-4.268368109
GSM1402354,-1.241,-1.29921934,-0.436879089
GSM1402329,-0.852,-1.265412739,-0.626267063
GSM1402430,-0.658,-1.251275688,-3.947713224
GSM1402419,-0.974,-1.220924337,0.046192835
GSM1402414,0.471,-1.201552311,6.322630173
GSM1402343,0.286,-1.179177333,-4.941941123
GSM1402377,-0.001,-1.144259566,-1.260568543
GSM1402433,-0.483,-1.136227108,-4.523609528
GSM1402369,-0.192,-0.959042476,-8.541725744
GSM1402431,-0.427,-0.735917946,-9.725904183
GSM1402335,0.384,-0.730983565,-4.749181455
GSM1402372,-1.532,-0.696524565,0.742161638
GSM1402363,-0.914,-0.670970893,-1.23055672
GSM1402332,-0.202,-0.661199129,-0.102546644
GSM1402411,-1.151,-0.641034362,-0.350237012
GSM1402389,0.372,-0.563505455,2.344947594
GSM1402394,-1.018,-0.503321865,0.22478577
GSM1402350,0.177,-0.488832675,-5.193597466
GSM1402408,-0.885,-0.435819773,-0.739643948
GSM1402373,-0.195,-0.427478806,-1.992280589
GSM1402425,-0.799,-0.31470379,-1.340094417
GSM1402333,-1.183,-0.296741361,1.080032488
GSM1402370,-0.676,-0.246166955,1.629569721
GSM1402349,0.107,-0.194181262,-2.213396038
GSM1402399,-0.304,-0.169272249,-12.96249988
GSM1402418,-0.511,-0.164991344,-4.538977739
GSM1402330,0,-0.101844075,-4.338660919
GSM1402391,-0.847,-0.091216523,-0.780632422
GSM1402360,-0.65,-0.037758683,1.162232139
GSM1402402,-0.605,-0.032936655,-2.737365372
GSM1402344,0.2,-0.006022589,0.95344367
GSM1402365,-0.137,0.002045815,-3.158769473
GSM1402428,-0.333,0.098671968,-5.840192512
GSM1402339,0.719,0.121168574,6.3071471
GSM1402347,0.421,0.155803059,2.417800794
GSM1402424,0.115,0.174347618,-3.576261159
GSM1402435,-0.411,0.174433188,-9.20733306
GSM1402429,0.198,0.2168637,0.990499122
GSM1402404,-0.57,0.310021949,-3.246657547
GSM1402340,-0.253,0.373379964,5.210246893
GSM1402366,0.088,0.469592823,3.142891621
GSM1402378,0.659,0.479546274,-1.190521429
GSM1402385,0.438,0.550064184,5.658527885
GSM1402346,0.518,0.565578886,-1.608732324
GSM1402380,-0.028,0.605340674,0.44604846
GSM1402362,0.414,0.663270694,7.042504358
GSM1402415,0.087,0.663814501,1.198242009
GSM1402387,0.667,0.69511797,-0.518750674
GSM1402356,0.268,0.762576056,-1.077512662
GSM1402417,0.1,0.767519057,-7.585901446
GSM1402326,0.496,0.828155662,5.178621303
GSM1402322,-0.014,0.834710706,-5.604327262
GSM1402345,0.298,0.985180564,3.200551615
GSM1402401,0.673,0.994443402,6.64120436
GSM1402423,0.803,1.024657745,4.512376589
GSM1402422,0.567,1.09898486,-0.608884524
GSM1402355,0.331,1.15546811,-4.044787681
GSM1402336,0.568,1.209041757,2.217781578
GSM1402324,0.601,1.213862672,3.334923855
GSM1402393,-0.443,1.226092868,1.688300921
GSM1402368,0.414,1.232561991,5.910547765
GSM1402386,0.491,1.264048346,2.864931538
GSM1402361,0.478,1.266360952,3.258246177
GSM1402420,0.722,1.301316327,7.028412148
GSM1402409,0.123,1.348797105,-2.223643469
GSM1402371,0.588,1.354519292,1.741246655
GSM1402405,0.421,1.396475843,-2.080139672
GSM1402384,0.177,1.43713233,1.449808623
GSM1402390,0.651,1.493616947,3.737629918
GSM1402427,0.345,1.507911026,0.81367748
GSM1402325,0.444,1.532757056,0.889081947
GSM1402379,0.702,1.539716755,3.557181709
GSM1402367,0.181,1.672490576,5.446489814
GSM1402327,0.041,1.720316842,-2.969732177
GSM1402412,0.857,1.750916732,4.70632567
GSM1402323,0.593,1.799338447,5.15234019
GSM1402382,0.586,1.803013268,0.156012478
GSM1402432,0.639,1.849235482,0.148561111
GSM1402337,0.382,2.036066391,3.703675215
GSM1402392,0.87,2.050545238,4.899687407
GSM1402342,0.534,2.269095514,6.937733707
GSM1402334,0.536,2.278919741,3.542796199
GSM1402359,0.384,2.291506442,3.402769062
